"","ccode","idacr","leader","syear","eyear","startdate","enddate","entry","exit","exitcode","yrborn","coup_exit","tenure","coup_entry"
"1",2,"USA","Truman",1945,1953,1945-04-12,1953-01-20,"Regular","Regular","Regular",1884,0,2840,NA
"2",2,"USA","Eisenhower",1953,1961,1953-01-20,1961-01-20,"Regular","Regular","Regular",1890,0,2922,0
"3",2,"USA","Kennedy",1961,1963,1961-01-20,1963-11-22,"Regular","Irregular","Assassination by Unsupported Individual",1917,0,1036,0
"4",2,"USA","Johnson",1963,1969,1963-11-22,1969-01-20,"Regular","Regular","Regular",1908,0,1886,0
"5",2,"USA","Nixon",1969,1974,1969-01-20,1974-08-09,"Regular","Regular","Regular",1913,0,2027,0
"6",2,"USA","Ford",1974,1977,1974-08-09,1977-01-20,"Regular","Regular","Regular",1913,0,895,0
"7",2,"USA","Carter",1977,1981,1977-01-20,1981-01-20,"Regular","Regular","Regular",1924,0,1461,0
"8",2,"USA","Reagan",1981,1989,1981-01-20,1989-01-20,"Regular","Regular","Regular",1911,0,2922,0
"9",2,"USA","G.H.W. Bush",1989,1993,1989-01-20,1993-01-20,"Regular","Regular","Regular",1924,0,1461,0
"10",2,"USA","Clinton",1993,2001,1993-01-20,2001-01-20,"Regular","Regular","Regular",1946,0,2922,0
"11",2,"USA","G.W. Bush",2001,2009,2001-01-21,2009-01-20,"Regular","Regular","Regular",1946,0,2921,0
"12",2,"USA","Obama",2009,2015,2009-01-20,2015-12-31,"Regular","Still in Office","Still in Office",1961,0,2536,0
"13",20,"CAN","King",1935,1948,1935-10-23,1948-11-15,"Regular","Retired Due to Ill Health","Regular",1874,0,4772,NA
"14",20,"CAN","St. Laurent",1948,1957,1948-11-15,1957-06-21,"Regular","Regular","Regular",1882,0,3140,0
"15",20,"CAN","Diefenbaker",1957,1963,1957-06-21,1963-04-22,"Regular","Regular","Regular",1895,0,2131,0
"16",20,"CAN","Pearson",1963,1968,1963-04-22,1968-04-20,"Regular","Regular","Regular",1897,0,1825,0
"17",20,"CAN","Pierre Trudeau",1968,1979,1968-04-20,1979-06-04,"Regular","Regular","Regular",1919,0,4062,0
"18",20,"CAN","Clark",1979,1980,1979-06-04,1980-03-03,"Regular","Regular","Regular",1939,0,273,0
"19",20,"CAN","Pierre Trudeau",1980,1984,1980-03-03,1984-06-30,"Regular","Regular","Regular",1919,0,1580,0
"20",20,"CAN","Turner",1984,1984,1984-06-30,1984-09-17,"Regular","Regular","Regular",1929,0,79,0
"21",20,"CAN","Mulroney",1984,1993,1984-09-17,1993-06-25,"Regular","Regular","Regular",1939,0,3203,0
"22",20,"CAN","Kim Campbell",1993,1993,1993-06-25,1993-11-04,"Regular","Regular","Regular",1947,0,132,0
"23",20,"CAN","Chretien",1993,2003,1993-11-04,2003-12-12,"Regular","Regular","Regular",1939,0,3690,0
"24",20,"CAN","Paul Martin",2003,2006,2003-12-12,2006-02-06,"Regular","Regular","Regular",1938,0,787,0
"25",20,"CAN","Harper",2006,2015,2006-02-06,2015-11-04,"Regular","Regular","Regular",1959,0,3558,0
"26",20,"CAN","Justin Trudeau",2015,2015,2015-11-04,2015-12-31,"Regular","Still in Office","Still in Office",1971,0,57,0
"27",31,"BHM","Pindling",1967,1992,1967-01-16,1992-08-21,"Regular","Regular","Regular",1930,0,9349,NA
"28",31,"BHM","Ingraham",1992,2002,1992-08-21,2002-05-03,"Regular","Regular","Regular",1947,0,3542,0
"29",31,"BHM","Christie",2002,2005,2002-05-03,2005-05-04,"Regular","Regular","Regular",1943,0,1097,0
"30",31,"BHM","Cynthia A. Pratt",2005,2005,2005-05-04,2005-06-22,"Regular","Regular","Regular",1943,0,49,0
"31",31,"BHM","Christie",2005,2007,2005-06-22,2007-05-04,"Regular","Regular","Regular",1943,0,681,0
"32",31,"BHM","Ingraham",2007,2012,2007-05-04,2012-05-08,"Regular","Regular","Regular",1947,0,1831,0
"33",31,"BHM","Christie",2012,2015,2012-05-08,2015-12-31,"Regular","Still in Office","Still in Office",1943,0,1332,0
"34",40,"CUB","Grau San Martin",1944,1948,1944-10-10,1948-10-10,"Regular","Regular","Regular",1882,0,1461,NA
"35",40,"CUB","Prio Socarres",1948,1952,1948-10-10,1952-03-10,"Regular","Irregular","Removed by Military, without Foreign Support",1903,1,1247,0
"36",40,"CUB","Batista",1952,1959,1952-03-10,1959-01-01,"Irregular","Irregular","Removed by Rebels, without Foreign Support",1901,0,2488,1
"37",40,"CUB","Castro",1959,2008,1959-01-02,2008-02-24,"Irregular","Retired Due to Ill Health","Regular",1927,0,17950,0
"38",40,"CUB","Raul Castro",2008,2015,2008-02-24,2015-12-31,"Regular","Still in Office","Still in Office",1931,0,2867,0
"39",41,"HAI","Lescot",1941,1946,1941-05-15,1946-01-11,"Regular","Irregular","Removed by Military, without Foreign Support",1883,1,1702,NA
"40",41,"HAI","Lavaud",1946,1946,1946-01-11,1946-08-16,"Irregular","Regular","Regular",1903,0,217,1
"41",41,"HAI","Estime",1946,1950,1946-08-16,1950-05-10,"Regular","Irregular","Removed by Military, without Foreign Support",1900,1,1363,0
"42",41,"HAI","Magloire",1950,1956,1950-05-10,1956-12-12,"Regular","Irregular","Removed by Military, without Foreign Support",1907,1,2408,1
"43",41,"HAI","Pierre-Louis",1956,1957,1956-12-12,1957-02-03,"Regular","Irregular","Removed by Military, without Foreign Support",1900,1,53,1
"44",41,"HAI","Sylvain",1957,1957,1957-02-07,1957-04-02,"Regular","Irregular","Removed by Military, without Foreign Support",1909,1,54,1
"45",41,"HAI","Cantave",1957,1957,1957-04-02,1957-04-06,"Irregular","Regular","Regular",1910,0,4,1
"46",41,"HAI","Executive council",1957,1957,1957-04-06,1957-05-20,"Regular","Regular","Regular",-999,0,44,0
"47",41,"HAI","Cantave",1957,1957,1957-05-20,1957-05-26,"Irregular","Irregular","Removed by Military, without Foreign Support",1910,1,6,0
"48",41,"HAI","Fignole",1957,1957,1957-05-26,1957-06-14,"Irregular","Irregular","Removed by Military, without Foreign Support",1914,1,19,1
"49",41,"HAI","Kebreau",1957,1957,1957-06-14,1957-10-15,"Irregular","Regular","Regular",1909,0,123,1
"50",41,"HAI","Duvalier, Francois",1957,1971,1957-10-15,1971-04-22,"Regular","Natural Death","Regular",1907,0,4937,0
"51",41,"HAI","Duvalier, Jean-Claude",1971,1986,1971-04-22,1986-02-07,"Regular","Irregular","Removed by Military, without Foreign Support",1951,1,5405,0
"52",41,"HAI","Namphy",1986,1988,1986-02-07,1988-02-07,"Irregular","Regular","Regular",1932,0,730,1
"53",41,"HAI","Manigat",1988,1988,1988-02-07,1988-06-20,"Regular","Irregular","Removed by Military, without Foreign Support",1930,1,134,0
"54",41,"HAI","Namphy",1988,1988,1988-06-20,1988-09-17,"Irregular","Irregular","Removed by Military, without Foreign Support",1932,1,89,1
"55",41,"HAI","Avril",1988,1990,1988-09-17,1990-03-10,"Irregular","Irregular","Popular Protest, without Foreign Support",1938,0,539,1
"56",41,"HAI","Abraham",1990,1990,1990-03-10,1990-03-13,"Regular","Regular","Regular",1940,0,3,0
"57",41,"HAI","Pascal-Troillet",1990,1991,1990-03-13,1991-02-07,"Regular","Regular","Regular",1943,0,331,0
"58",41,"HAI","Aristide",1991,1991,1991-02-07,1991-09-30,"Regular","Irregular","Removed by Military, without Foreign Support",1953,1,235,0
"59",41,"HAI","Cedras",1991,1994,1991-09-30,1994-10-14,"Irregular","Foreign","Removed through Threat of Foreign Force",1949,0,1110,1
"60",41,"HAI","Aristide",1994,1996,1994-10-15,1996-02-07,"Foreign Imposition","Regular","Regular",1953,0,480,0
"61",41,"HAI","Preval",1996,2001,1996-02-07,2001-02-07,"Regular","Regular","Regular",1943,0,1827,0
"62",41,"HAI","Aristide",2001,2004,2001-02-08,2004-02-29,"Regular","Irregular","Removed by Rebels, with Foreign Support",1953,0,1116,0
"63",41,"HAI","Boniface Alexandre",2004,2006,2004-02-29,2006-05-14,"Regular","Regular","Regular",1936,0,805,0
"64",41,"HAI","Preval",2006,2011,2006-05-14,2011-05-14,"Regular","Regular","Regular",1943,0,1826,0
"65",41,"HAI","Martelly",2011,2014,2011-05-14,2014-12-31,"Regular","Still in Office","Still in Office",1961,0,1327,0
"66",42,"DOM","Rafel Trujillo",1930,1961,1930-08-16,1961-05-30,"Regular","Irregular","Removed by Military, without Foreign Support",1891,1,11245,NA
"67",42,"DOM","Balaguer",1961,1962,1961-05-30,1962-01-17,"Irregular","Irregular","Removed by Military, without Foreign Support",1907,1,232,1
"68",42,"DOM","Echavarria",1962,1962,1962-01-17,1962-01-19,"Irregular","Irregular","Removed by Military, without Foreign Support",1925,1,2,1
"69",42,"DOM","Filiberto Bonnelly",1962,1963,1962-01-19,1963-02-27,"Regular","Regular","Regular",1904,0,404,1
"70",42,"DOM","Bosch",1963,1963,1963-02-27,1963-09-25,"Regular","Irregular","Removed by Military, without Foreign Support",1909,1,210,0
"71",42,"DOM","de los Santos",1963,1963,1963-09-26,1963-12-22,"Irregular","Regular","Regular",1903,0,87,1
"72",42,"DOM","Cabral",1963,1965,1963-12-22,1965-04-25,"Irregular","Irregular","Removed by Military, without Foreign Support",1923,1,490,0
"73",42,"DOM","Molina Urena",1965,1965,1965-04-25,1965-04-27,"Irregular","Irregular","Removed by Military, without Foreign Support",1921,1,2,1
"74",42,"DOM","Bartolome Benoit",1965,1965,1965-04-27,1965-05-07,"Irregular","Regular","Regular",1921,0,10,1
"75",42,"DOM","Berreras",1965,1965,1965-05-07,1965-08-30,"Irregular","Regular","Regular",1920,0,115,0
"76",42,"DOM","Godoy",1965,1966,1965-09-03,1966-07-01,"Regular","Regular","Regular",1921,0,301,0
"77",42,"DOM","Balaguer",1966,1978,1966-07-01,1978-07-01,"Regular","Regular","Regular",1907,0,4383,0
"78",42,"DOM","Guzman Fernandez",1978,1982,1978-07-01,1982-07-04,"Regular","Suicide","Regular",1911,0,1464,0
"79",42,"DOM","Majluta Azar",1982,1982,1982-07-04,1982-08-16,"Regular","Regular","Regular",1934,0,43,0
"80",42,"DOM","Blanco",1982,1986,1982-08-16,1986-08-16,"Regular","Regular","Regular",1926,0,1461,0
"81",42,"DOM","Balaguer",1986,1996,1986-08-16,1996-08-16,"Regular","Regular","Regular",1907,0,3653,0
"82",42,"DOM","Fernandez Reyna",1996,2000,1996-08-16,2000-08-16,"Regular","Regular","Regular",1953,0,1461,0
"83",42,"DOM","Hipolito Mejia",2000,2004,2000-08-17,2004-08-16,"Regular","Regular","Regular",1941,0,1460,0
"84",42,"DOM","Fernandez Reyna",2004,2012,2004-08-16,2012-08-16,"Regular","Regular","Regular",1953,0,2922,0
"85",42,"DOM","Medina",2012,2020,2012-08-16,2020-08-16,"Regular","Regular","Still in Office",1951,0,2922,0
"86",51,"JAM","Bustamante",1962,1967,1962-08-06,1967-02-22,"Regular","Regular","Regular",1884,0,1661,NA
"87",51,"JAM","Sangster",1967,1967,1967-02-22,1967-04-11,"Regular","Natural Death","Regular",1911,0,48,0
"88",51,"JAM","Shearer",1967,1972,1967-04-11,1972-03-02,"Regular","Regular","Regular",1923,0,1787,0
"89",51,"JAM","Manley",1972,1980,1972-03-02,1980-11-01,"Regular","Regular","Regular",1924,0,3166,0
"90",51,"JAM","Seaga",1980,1989,1980-11-01,1989-02-10,"Regular","Regular","Regular",1930,0,3023,0
"91",51,"JAM","Manley",1989,1992,1989-02-10,1992-03-30,"Regular","Retired Due to Ill Health","Regular",1924,0,1144,0
"92",51,"JAM","Patterson",1992,2006,1992-03-30,2006-03-30,"Regular","Regular","Regular",1935,0,5113,0
"93",51,"JAM","Simpson-Miller",2006,2007,2006-03-30,2007-09-11,"Regular","Regular","Regular",1945,0,530,0
"94",51,"JAM","Golding",2007,2011,2007-09-11,2011-10-23,"Regular","Regular","Regular",1947,0,1503,0
"95",51,"JAM","Holness",2011,2012,2011-10-23,2012-01-05,"Regular","Regular","Regular",1972,0,74,0
"96",51,"JAM","Simpson-Miller",2012,2015,2012-01-05,2015-12-31,"Regular","Still in Office","Still in Office",1945,0,1456,0
"97",52,"TRI","Williams",1962,1981,1962-08-31,1981-03-29,"Regular","Natural Death","Regular",1911,0,6785,NA
"98",52,"TRI","Chambers",1981,1986,1981-03-30,1986-12-18,"Regular","Regular","Regular",1928,0,2089,0
"99",52,"TRI","Robinson",1986,1991,1986-12-18,1991-12-07,"Regular","Regular","Regular",1926,0,1815,0
"100",52,"TRI","Manning",1991,1995,1991-12-16,1995-11-09,"Regular","Regular","Regular",1946,0,1424,0
"101",52,"TRI","Panday",1995,2001,1995-11-09,2001-12-24,"Regular","Regular","Regular",1933,0,2237,0
"102",52,"TRI","Manning",2001,2010,2001-12-25,2010-05-26,"Regular","Regular","Regular",1947,0,3074,0
"103",52,"TRI","Kamla Persad-Bissessar",2010,2015,2010-05-26,2015-09-09,"Regular","Regular","Regular",1952,0,1932,0
"104",52,"TRI","Keith Rowley",2015,2015,2015-09-09,2015-12-31,"Regular","Still in Office","Still in Office",1949,0,113,0
"105",53,"BAR","Barrow",1966,1976,1966-11-18,1976-09-08,"Regular","Regular","Regular",1920,0,3582,NA
"106",53,"BAR","Adams",1976,1985,1976-10-08,1985-03-11,"Regular","Natural Death","Regular",1931,0,3076,0
"107",53,"BAR","St. John",1985,1986,1985-03-11,1986-05-29,"Regular","Regular","Regular",1931,0,444,0
"108",53,"BAR","Barrow",1986,1987,1986-05-29,1987-06-01,"Regular","Natural Death","Regular",1920,0,368,0
"109",53,"BAR","Sandiford",1987,1994,1987-06-01,1994-09-07,"Regular","Regular","Regular",1937,0,2655,0
"110",53,"BAR","Arthur",1994,2008,1994-09-07,2008-01-16,"Regular","Regular","Regular",1949,0,4879,0
"111",53,"BAR","Thompson",2008,2010,2008-01-16,2010-10-23,"Regular","Natural Death","Regular",1961,0,1011,0
"112",53,"BAR","Stuart",2010,2015,2010-10-23,2015-12-31,"Regular","Still in Office","Still in Office",1951,0,1895,0
"113",70,"MEX","Avila Camacho",1940,1946,1940-12-01,1946-12-01,"Regular","Regular","Regular",1897,0,2191,NA
"114",70,"MEX","Aleman Valdes",1946,1952,1946-12-01,1952-12-01,"Regular","Regular","Regular",1903,0,2192,0
"115",70,"MEX","Ruiz Cortines",1952,1958,1952-12-01,1958-12-01,"Regular","Regular","Regular",1890,0,2191,0
"116",70,"MEX","Lopez Mateos",1958,1964,1958-12-01,1964-12-01,"Regular","Regular","Regular",1910,0,2192,0
"117",70,"MEX","Diaz Ordaz",1964,1970,1964-12-01,1970-12-01,"Regular","Regular","Regular",1911,0,2191,0
"118",70,"MEX","Echeverria Alvarez",1970,1976,1970-12-01,1976-12-01,"Regular","Regular","Regular",1922,0,2192,0
"119",70,"MEX","Lopez Portillo",1976,1982,1976-12-01,1982-12-01,"Regular","Regular","Regular",1920,0,2191,0
"120",70,"MEX","de La Madrid",1982,1988,1982-12-01,1988-12-01,"Regular","Regular","Regular",1934,0,2192,0
"121",70,"MEX","Salinas",1988,1994,1988-12-01,1994-11-30,"Regular","Regular","Regular",1948,0,2190,0
"122",70,"MEX","Zedillo",1994,2000,1994-12-01,2000-11-30,"Regular","Regular","Regular",1951,0,2191,0
"123",70,"MEX","Vicente Fox Quesada",2000,2006,2000-12-01,2006-11-30,"Regular","Regular","Regular",1942,0,2190,0
"124",70,"MEX","Calderon",2006,2012,2006-12-01,2012-12-01,"Regular","Regular","Regular",1962,0,2192,0
"125",70,"MEX","Enrique Pena Nieto",2012,2015,2012-12-01,2015-12-31,"Regular","Still in Office","Still in Office",1966,0,1125,0
"126",80,"BLZ","Price",1961,1984,1961-04-07,1984-12-17,"Regular","Regular","Regular",1919,0,8655,NA
"127",80,"BLZ","Esquivel",1984,1989,1984-12-17,1989-11-07,"Regular","Regular","Regular",1940,0,1786,0
"128",80,"BLZ","Price",1989,1993,1989-11-07,1993-07-03,"Regular","Regular","Regular",1919,0,1334,0
"129",80,"BLZ","Esquivel",1993,1998,1993-07-03,1998-08-28,"Regular","Regular","Regular",1940,0,1882,0
"130",80,"BLZ","Musa",1998,2008,1998-08-28,2008-02-08,"Regular","Regular","Regular",1944,0,3451,0
"131",80,"BLZ","D.Barrow",2008,2015,2008-02-08,2015-12-31,"Regular","Still in Office","Still in Office",1951,0,2883,0
"132",90,"GUA","Arevalo",1945,1951,1945-03-15,1951-03-01,"Regular","Regular","Regular",1904,0,2177,NA
"133",90,"GUA","Arbenz Guzman",1951,1954,1951-03-01,1954-06-27,"Regular","Irregular","Removed by Military, with Foreign Support",1913,0,1214,0
"134",90,"GUA","Diaz",1954,1954,1954-06-27,1954-06-29,"Irregular","Irregular","Removed by Military, without Foreign Support",1910,1,2,0
"135",90,"GUA","Monzon",1954,1954,1954-06-29,1954-07-08,"Irregular","Irregular","Removed in Military Power Struggle Short of Coup",1912,0,9,1
"136",90,"GUA","Castillo Armas",1954,1957,1954-07-08,1957-07-20,"Irregular","Irregular","Assassination by Unsupported Individual",1914,0,1108,0
"137",90,"GUA","Gonzalez Lopez",1957,1957,1957-07-20,1957-10-24,"Irregular","Irregular","Removed by Military, without Foreign Support",1900,1,96,0
"138",90,"GUA","Mendoza Azurdia",1957,1957,1957-10-24,1957-10-27,"Irregular","Irregular","Removed by Military, with Foreign Support",1917,0,3,1
"139",90,"GUA","Flores Avendano",1957,1958,1957-10-28,1958-03-02,"Irregular","Regular","Regular",1898,0,125,0
"140",90,"GUA","Ydigoras Fuente",1958,1963,1958-03-02,1963-03-31,"Regular","Irregular","Removed by Military, without Foreign Support",1895,1,1855,0
"141",90,"GUA","Peralta Azurdia",1963,1966,1963-03-31,1966-07-01,"Irregular","Regular","Regular",1908,0,1188,1
"142",90,"GUA","Mendez Montenegro",1966,1970,1966-07-01,1970-07-01,"Regular","Regular","Regular",1915,0,1461,0
"143",90,"GUA","Arana Osorio",1970,1974,1970-07-01,1974-07-01,"Regular","Regular","Regular",1918,0,1461,0
"144",90,"GUA","Laugerud Garcia",1974,1978,1974-07-01,1978-07-01,"Regular","Regular","Regular",1930,0,1461,0
"145",90,"GUA","Lucas Garcia",1978,1982,1978-07-01,1982-03-23,"Regular","Irregular","Removed by Military, without Foreign Support",1924,1,1361,0
"146",90,"GUA","Rios Montt",1982,1983,1982-03-23,1983-08-08,"Irregular","Irregular","Removed by Military, without Foreign Support",1926,1,503,1
"147",90,"GUA","Mejia Victores",1983,1986,1983-08-08,1986-01-14,"Irregular","Regular","Regular",1930,0,890,1
"148",90,"GUA","Cerezo",1986,1991,1986-01-14,1991-01-14,"Regular","Regular","Regular",1942,0,1826,0
"149",90,"GUA","Serrano Elias",1991,1993,1991-01-14,1993-05-31,"Regular","Irregular","Removed by Military, without Foreign Support",1945,1,868,0
"150",90,"GUA","Espina Salguero",1993,1993,1993-05-31,1993-06-01,"Regular","Regular","Regular",1946,0,1,1
"151",90,"GUA","Leon Carpio",1993,1996,1993-06-01,1996-01-14,"Irregular","Regular","Regular",1942,0,957,0
"152",90,"GUA","Arzu Yrigoyen",1996,2000,1996-01-14,2000-01-14,"Regular","Regular","Regular",1946,0,1461,0
"153",90,"GUA","Alfonso Portillo Cabrera",2000,2004,2000-01-15,2004-01-14,"Regular","Regular","Regular",1951,0,1460,0
"154",90,"GUA","Berger Perdomo",2004,2008,2004-01-14,2008-01-14,"Regular","Regular","Regular",1946,0,1461,0
"155",90,"GUA","Colom Caballeros",2008,2012,2008-01-14,2012-01-14,"Regular","Regular","Regular",1951,0,1461,0
"156",90,"GUA","Perez Molina",2012,2015,2012-01-14,2015-09-02,"Regular","Regular","Regular",1950,0,1327,0
"157",91,"HON","Carias Andino",1933,1949,1933-02-01,1949-01-01,"Regular","Regular","Regular",1876,0,5813,NA
"158",91,"HON","Galvez",1949,1954,1949-01-01,1954-01-15,"Regular","Retired Due to Ill Health","Regular",1887,0,1840,0
"159",91,"HON","Lozano Diaz",1954,1956,1954-01-15,1956-10-21,"Regular","Irregular","Removed by Military, without Foreign Support",1885,1,1010,0
"160",91,"HON","Hector Caraccioli",1956,1957,1956-10-21,1957-12-21,"Irregular","Regular","Regular",1922,0,426,1
"161",91,"HON","Villeda Morales",1957,1963,1957-12-21,1963-10-03,"Regular","Irregular","Removed by Military, without Foreign Support",1909,1,2112,0
"162",91,"HON","Lopez Arellano",1963,1971,1963-10-03,1971-06-06,"Irregular","Regular","Regular",1921,0,2803,1
"163",91,"HON","Cruz",1971,1972,1971-06-06,1972-12-04,"Regular","Irregular","Removed by Military, without Foreign Support",1903,1,547,0
"164",91,"HON","Lopez Arellano",1972,1975,1972-12-04,1975-04-22,"Irregular","Irregular","Removed in Military Power Struggle Short of Coup",1921,0,869,1
"165",91,"HON","Castro",1975,1978,1975-04-22,1978-08-07,"Irregular","Irregular","Removed in Military Power Struggle Short of Coup",1938,0,1203,0
"166",91,"HON","Paz Garcia",1978,1982,1978-08-07,1982-01-27,"Irregular","Regular","Regular",1931,0,1269,0
"167",91,"HON","Suazo Cordova",1982,1986,1982-01-27,1986-01-27,"Regular","Regular","Regular",1928,0,1461,0
"168",91,"HON","Azcona Hoyo",1986,1990,1986-01-27,1990-01-27,"Regular","Regular","Regular",1927,0,1461,0
"169",91,"HON","Callejas",1990,1994,1990-01-27,1994-01-27,"Regular","Regular","Regular",1943,0,1461,0
"170",91,"HON","Reina",1994,1998,1994-01-27,1998-01-27,"Regular","Regular","Regular",1926,0,1461,0
"171",91,"HON","Flores Facusse",1998,2002,1998-01-27,2002-01-27,"Regular","Regular","Regular",1950,0,1461,0
"172",91,"HON","Ricardo Maduro",2002,2006,2002-01-27,2006-01-27,"Regular","Regular","Regular",1946,0,1461,0
"173",91,"HON","Zelaya",2006,2009,2006-01-27,2009-06-28,"Regular","Irregular","Removed by Military, without Foreign Support",1952,1,1248,0
"174",91,"HON","Micheletti",2009,2010,2009-06-28,2010-01-27,"Irregular","Regular","Regular",1948,0,213,1
"175",91,"HON","Lobo",2010,2014,2010-01-27,2014-01-27,"Regular","Regular","Regular",1947,0,1461,0
"176",91,"HON","Hernández",2014,2022,2014-01-27,2022-01-27,"Regular","Regular","Still in Office",1968,0,2922,0
"177",92,"SAL","Castaneda Castro",1945,1948,1945-02-28,1948-12-14,"Regular","Irregular","Removed by Military, without Foreign Support",1888,1,1385,NA
"178",92,"SAL","Cordova",1948,1949,1948-12-15,1949-01-04,"Irregular","Regular","Regular",1894,0,20,1
"179",92,"SAL","Osorio",1949,1949,1949-01-04,1949-10-22,"Regular","Regular","Regular",1910,0,291,0
"180",92,"SAL","Oscar Bolanos",1949,1950,1949-10-22,1950-09-14,"Regular","Regular","Regular",1912,0,327,0
"181",92,"SAL","Osorio",1950,1956,1950-09-14,1956-09-14,"Regular","Regular","Regular",1910,0,2192,0
"182",92,"SAL","Lemus",1956,1960,1956-09-14,1960-10-26,"Regular","Irregular","Removed by Military, without Foreign Support",1911,1,1503,0
"183",92,"SAL","Castillo",1960,1961,1960-10-26,1961-01-25,"Irregular","Irregular","Removed by Military, without Foreign Support",1915,1,91,1
"184",92,"SAL","Portillo",1961,1962,1961-01-25,1962-01-25,"Irregular","Regular","Regular",1914,0,365,1
"185",92,"SAL","Rodolfo Cordon",1962,1962,1962-01-25,1962-07-01,"Regular","Regular","Regular",1899,0,157,0
"186",92,"SAL","Rivera",1962,1967,1962-07-01,1967-07-01,"Regular","Regular","Regular",1922,0,1826,0
"187",92,"SAL","Sanchez Hernandez",1967,1972,1967-07-01,1972-07-01,"Regular","Regular","Regular",1917,0,1827,0
"188",92,"SAL","Molina",1972,1977,1972-07-01,1977-07-01,"Regular","Regular","Regular",1927,0,1826,0
"189",92,"SAL","Romero Mena",1977,1979,1977-07-01,1979-10-15,"Regular","Irregular","Removed by Military, without Foreign Support",1924,1,836,0
"190",92,"SAL","Majano Ramos",1979,1980,1979-10-15,1980-12-07,"Irregular","Irregular","Removed in Military Power Struggle Short of Coup",1938,0,419,1
"191",92,"SAL","Duarte",1980,1982,1980-12-13,1982-05-02,"Irregular","Regular","Regular",1925,0,505,0
"192",92,"SAL","Magana Borjo",1982,1984,1982-05-02,1984-06-01,"Regular","Regular","Regular",1925,0,761,0
"193",92,"SAL","Duarte",1984,1989,1984-06-01,1989-06-01,"Regular","Regular","Regular",1925,0,1826,0
"194",92,"SAL","Cristiani",1989,1994,1989-06-01,1994-06-01,"Regular","Regular","Regular",1947,0,1826,0
"195",92,"SAL","Calderon Sol",1994,1999,1994-06-01,1999-06-01,"Regular","Regular","Regular",1948,0,1826,0
"196",92,"SAL","Flores",1999,2004,1999-06-01,2004-06-01,"Regular","Regular","Regular",1959,0,1827,0
"197",92,"SAL","Saca González",2004,2009,2004-06-01,2009-06-01,"Regular","Regular","Regular",1965,0,1826,0
"198",92,"SAL","Funes",2009,2014,2009-06-01,2014-06-01,"Regular","Regular","Regular",1959,0,1826,0
"199",92,"SAL","Sanchez Ceren",2014,2015,2014-06-01,2015-12-31,"Regular","Still in Office","Still in Office",1944,0,578,0
"200",93,"NIC","Anastasio Somoza Garcia",1937,1947,1937-01-01,1947-05-01,"Regular","Regular","Regular",1896,0,3772,NA
"201",93,"NIC","Arguello",1947,1947,1947-05-01,1947-05-26,"Regular","Irregular","Removed by Military, without Foreign Support",1875,1,25,0
"202",93,"NIC","Anastasio Somoza Garcia",1947,1956,1947-05-26,1956-09-29,"Irregular","Irregular","Assassination by Unsupported Individual",1896,0,3414,1
"203",93,"NIC","Luis Somoza Debayle",1956,1963,1956-09-29,1963-05-01,"Regular","Regular","Regular",1922,0,2405,0
"204",93,"NIC","Shick Gutierrez",1963,1966,1963-05-01,1966-08-03,"Irregular","Natural Death","Regular",1909,0,1190,0
"205",93,"NIC","Guerrero Gutierrez",1966,1967,1966-08-04,1967-05-01,"Regular","Regular","Regular",1900,0,270,0
"206",93,"NIC","Anastasio Somoza Debayle",1967,1979,1967-05-01,1979-07-17,"Regular","Irregular","Removed by Rebels, with Foreign Support",1925,0,4460,0
"207",93,"NIC","Daniel Ortega",1979,2023,1979-07-18,2023-11-27,"Irregular","Regular","Regular",1945,0,16203,0
"208",93,"NIC","Violeta Chamorro",1990,1997,1990-04-25,1997-01-10,"Regular","Regular","Regular",1929,0,2452,0
"209",93,"NIC","Aleman",1997,2002,1997-01-10,2002-01-10,"Regular","Regular","Regular",1946,0,1826,0
"210",93,"NIC","Enrique Bolanos",2002,2007,2002-01-11,2007-01-10,"Regular","Regular","Regular",1928,0,1825,0
"211",93,"NIC","Daniel Ortega",2007,2023,2007-01-10,2023-11-27,"Regular","Still in Office","Still in Office",1945,0,6165,0
"212",94,"COS","Picado Michalski",1944,1948,1944-05-08,1948-04-20,"Regular","Irregular","Removed by Rebels, without Foreign Support",1900,0,1443,NA
"213",94,"COS","Leon Herrera",1948,1948,1948-04-20,1948-05-08,"Irregular","Regular","Regular",1874,0,18,0
"214",94,"COS","Figueres Ferrer",1948,1949,1948-05-08,1949-11-08,"Irregular","Regular","Regular",1906,0,549,0
"215",94,"COS","Otilia Ulate",1949,1953,1949-11-08,1953-11-08,"Regular","Regular","Regular",1892,0,1461,0
"216",94,"COS","Figueres Ferrer",1953,1958,1953-11-08,1958-05-08,"Regular","Regular","Regular",1906,0,1642,0
"217",94,"COS","Echandi Jimenez",1958,1962,1958-05-08,1962-05-08,"Regular","Regular","Regular",1915,0,1461,0
"218",94,"COS","Orlich",1962,1966,1962-05-08,1966-05-08,"Regular","Regular","Regular",1907,0,1461,0
"219",94,"COS","Trejos",1966,1970,1966-05-08,1970-05-08,"Regular","Regular","Regular",1916,0,1461,0
"220",94,"COS","Figueres Ferrer",1970,1974,1970-05-08,1974-05-08,"Regular","Regular","Regular",1906,0,1461,0
"221",94,"COS","Quiros, Daniel",1974,1978,1974-05-08,1978-05-08,"Regular","Regular","Regular",1921,0,1461,0
